SubjectID,PofHelp,Grades,O,C,E,A,N
1024,Possibly(50%),90-94.9,4.7,4.78,3.5,3.67,2
1113,ProbablyNot(25%),75-79.9,3.2,3.67,1.88,4.44,3.13
1577,Possibly(50%),90-94.9,3.7,4.56,3,4.44,2.75
1980,QuiteProbably(75%),80-84.9,3.4,4,2.88,3.89,3.13
2020,QuiteProbably(75%),85-89.9,2,4.44,3.88,4.11,4.25
2245,Possibly(50%),75-79.9,2.7,2.44,3.63,3.11,4.88
2275,Definitely(100%),80-84.9,4.4,4,3.25,4.33,3.38
3375,ProbablyNot(25%),80-84.9,4.7,2.22,2.63,1.78,1.5
3533,Definitely(100%),85-89.9,3.3,3.78,3.63,4.33,2.88
3883,Possibly(50%),,4.7,3.78,4.25,5,1.5
4556,Definitely(100%),85-89.9,3.7,3.67,2.5,3.89,4
4588,Possibly(50%),80-84.9,4.1,3.89,2.75,4.33,3.5
4611,Possibly(50%),80-84.9,3.78,4.89,2.13,3.78,2.88
5115,Possibly(50%),85-89.9,3.6,2.78,3.5,3.89,4.63
5954,Possibly(50%),80-84.9,4.4,2.33,4,3.89,2.63
7733,Possibly(50%),85-89.9,4.1,4.44,2.25,4.78,3.25
8642,QuiteProbably(75%),85-89.9,3.7,3.33,1.38,4.33,2.75
8997,Possibly(50%),85-89.9,3.1,4.67,3,4.89,4
9362,Possibly(50%),85-89.9,4,4.55,2.75,4.33,3
9897,Possibly(50%),80-84.9,3.2,2.11,1.88,3.44,3.25
